smiles,omega
[o]1-c2ccc3cscc3c2-c2cc3c4cocc4ccc3cc12,0.213256
[s]1-c2c(-c3c1ccc1c[nH]cc31)c1nsnc1c1ccc3cscc3c21,0.201059
[s]1-c2cc[nH]c2-c2c1c1c3cscc3ccc1c1cscc21,0.200245
[SiH2]1C(=Cc2[nH]c3c(c12)c1nsnc1c1ccc2c[nH]cc2c31)c1nccs1,0.184183
[SiH2]1C(=Cc2[nH]c3c(ncc4ccc5ccccc5c34)c12)c1cccc2ccccc12,0.178426
[SiH2]1C(=Cc2[nH]c3c(ncc4ccc5ccccc5c34)c12)c1nccs1,0.188101
[SiH2]1C(=Cc2[nH]ccc12)c1cc2sccc2c2c[nH]cc12,0.200857
[SiH2]1C(=Cc2c1c1[nH]c3ccc4ccccc4c3c1c1cscc21)c1cccs1,0.172553
[SiH2]1C(=Cc2c1c1[nH]c3ccsc3c1c1ccccc21)c1cccc2c[nH]cc12,0.179558
[SiH2]1C(=Cc2c1c1c3c[nH]cc3c3cc[nH]c3c1c1nsnc21)c1scc2cc[nH]c12,0.180676
[SiH2]1C(=Cc2c1c1c3c[nH]cc3c3cccnc3c1c1cocc21)c1cccc2nsnc12,0.181573
[SiH2]1C(=Cc2c1c1c3ccccc3c3ccsc3c1c1nsnc21)c1cccs1,0.179763
[SiH2]1C(=Cc2c1c1c3cscc3c3ccsc3c1c1c[nH]cc21)c1cccc2cocc12,0.172182
[SiH2]1C(=Cc2c1c1c3nsnc3c3ccsc3c1c1c[nH]cc21)c1cccc2ccccc12,0.177831
[SiH2]1C(=Cc2c1c1cc3c4c[nH]cc4ccc3cc1c1cscc21)c1cncs1,0.178571
[SiH2]1C(=Cc2c1c1cc3ccccc3cc1c1cscc21)c1cncc2nsnc12,0.18565
[SiH2]1C(=Cc2c1c1cc3occc3cc1c1c[nH]cc21)c1scc2occc12,0.181857
[SiH2]1C(=Cc2c1c1ccccc1c1cocc21)c1scc2[nH]ccc12,0.18823
[SiH2]1C(=Cc2c1c1sc3ccc4cscc4c3c1c1cocc21)c1cccc2cocc12,0.173244
[SiH2]1C(=Cc2c1c1sc3cccnc3c1c1ccccc21)c1scc2occc12,0.176966
[SiH2]1C(=Cc2c1c1sc3ccsc3c1c1nsnc21)c1ccc[nH]1,0.194613
[SiH2]1C(=Cc2c1ccc1cocc21)c1ccc2ccc3ccccc3c2c1,0.190046
[SiH2]1C(=Cc2cc3c4c[nH]cc4c4ccsc4c3cc12)c1scc2cc[nH]c12,0.1828
[SiH2]1C(=Cc2cc3ccc4cccnc4c3cc12)c1scc2sccc12,0.187517
[SiH2]1C(=Cc2cc3cnc4ccc5c[nH]cc5c4c3cc12)c1ncncn1,0.199752
[SiH2]1C(=Cc2cc3ncc4ccncc4c3cc12)c1cncs1,0.205039
[SiH2]1C(=Cc2cc3sc4cc[nH]c4c3cc12)c1cccs1,0.199266
[SiH2]1C(=Cc2ccc3c(c12)c1cocc1c1ccc2c[nH]cc2c31)c1cncs1,0.188268
[SiH2]1C(=Cc2ccc3c(oc4ccc5cocc5c34)c12)c1cncs1,0.198961
[SiH2]1C(=Cc2ccc3ccoc3c12)c1scc2ccsc12,0.19948
[SiH2]1C(=Cc2cnc3c(c12)c1ccccc1c1ccc2c[nH]cc2c31)c1nccc2nsnc12,0.193467
[SiH2]1C(=Cc2cnc3c(ncc4cccnc34)c12)c1cccc2c[nH]cc12,0.19902
[SiH2]1C(=Cc2cnc3c4ncccc4c4cscc4c3c12)c1scc2occc12,0.185772
[SiH2]1C(=Cc2cnc3cc4cc[nH]c4cc3c12)c1scc2occc12,0.193512
[SiH2]1C(=Cc2cnccc12)c1cc2ccccc2c2nsnc12,0.197118
[SiH2]1C(=Cc2ncc3c(c12)c1cocc1c1ccc2cscc2c31)c1cccc2c[nH]cc12,0.191838
[SiH2]1C(=Cc2ncc3c(c12)c1cocc1c1ccc2nsnc2c31)c1scc2occc12,0.19177
[SiH2]1C(=Cc2ncc3c(cnc4ccc5cscc5c34)c12)c1scc2nccnc12,0.188727
[SiH2]1C(=Cc2ncc3c4ccccc4c4cocc4c3c12)c1scc2cc[nH]c12,0.185841
[SiH2]1C(=Cc2ncc3c4occc4ncc3c12)c1nccc2nsnc12,0.204681
[SiH2]1C(=Cc2oc3c([nH]c4ccc5nsnc5c34)c12)c1scc2nccnc12,0.184455
[SiH2]1C(=Cc2oc3c(c12)c1ccccc1c1ccc2cocc2c31)c1scc2occc12,0.176961
[SiH2]1C(=Cc2oc3c(cnc4ccc5c[nH]cc5c34)c12)c1scc2cc[nH]c12,0.186444
[SiH2]1C(=Cc2oc3cc[nH]c3c12)c1nccs1,0.218571
[SiH2]1C(=Cc2sc3c(c12)c1c[nH]cc1c1ccc2nsnc2c31)c1cccnc1,0.183677
[SiH2]1C(=Cc2sc3c(c12)c1nsnc1c1ccncc31)c1cccs1,0.190615
